# 文字コード表(Unicode UTF-8 UTF-16) [7000/21420]
# http://pentan.info/doc/unicode_list.html
# UTF8	UTF16	S-JIS	EUC-JP	JIS	文字	実体参照
C2A7	A7	8198	A1F8	2178	§	 &#167;
E5938A	54CA		8FB5BA	44353A	哊	 &#21706;
E5938B	54CB				哋	 &#21707;
E5938C	54CC				哌	 &#21708;
E5938D	54CD		8FB5BB	44353B	响	 &#21709;
E5938E	54CE		8FB5BC	44353C	哎	 &#21710;
E5938F	54CF				哏	 &#21711;
E59390	54D0				哐	 &#21712;
E59391	54D1				哑	 &#21713;
E59392	54D2				哒	 &#21714;
E59393	54D3				哓	 &#21715;
E59394	54D4				哔	 &#21716;
E59395	54D5				哕	 &#21717;
E59396	54D6				哖	 &#21718;
E59397	54D7				哗	 &#21719;
E59398	54D8	9A45	D3A6	5326	哘	 &#21720;
E59399	54D9				哙	 &#21721;
E5939A	54DA				哚	 &#21722;
E5939B	54DB				哛	 &#21723;
E5939C	54DC				哜	 &#21724;
E5939D	54DD				哝	 &#21725;
E5939E	54DE				哞	 &#21726;
E5939F	54DF				哟	 &#21727;
E593A0	54E0		8FB5BD	44353D	哠	 &#21728;
E593A1	54E1	88F5	B0F7	3077	員	 &#21729;
E593A2	54E2	9A4E	D3AF	532F	哢	 &#21730;
E593A3	54E3				哣	 &#21731;
E593A4	54E4				哤	 &#21732;
E593A5	54E5	9A46	D3A7	5327	哥	 &#21733;
E593A6	54E6	9A47	D3A8	5328	哦	 &#21734;
E593A7	54E7				哧	 &#21735;
E593A8	54E8	8FA3	BEA5	3E25	哨	 &#21736;
E593A9	54E9	9689	CBE9	4B69	哩	 &#21737;
E593AA	54EA		8FB5BE	44353E	哪	 &#21738;
E593AB	54EB				哫	 &#21739;
E593AC	54EC		8FB5BF	44353F	哬	 &#21740;
E593AD	54ED	9A4C	D3AD	532D	哭	 &#21741;
E593AE	54EE	9A4B	D3AC	532C	哮	 &#21742;
E593AF	54EF		8FB5C0	443540	哯	 &#21743;
E593B0	54F0				哰	 &#21744;
E593B1	54F1				哱	 &#21745;
E593B2	54F2	934E	C5AF	452F	哲	 &#21746;
E593B3	54F3				哳	 &#21747;
E593B4	54F4				哴	 &#21748;
E593B5	54F5				哵	 &#21749;
E593B6	54F6		8FB5C1	443541	哶	 &#21750;
E593B7	54F7				哷	 &#21751;
E593B8	54F8				哸	 &#21752;
E593B9	54F9				哹	 &#21753;
E593BA	54FA	9A4D	D3AE	532E	哺	 &#21754;
E593BB	54FB				哻	 &#21755;
E593BC	54FC		8FB5C2	443542	哼	 &#21756;
E593BD	54FD	9A4A	D3AB	532B	哽	 &#21757;
E593BE	54FE		8FB5C3	443543	哾	 &#21758;
E593BF	54FF	FA94	F9D8	443544	哿	 &#21759;
E59480	5500		8FB5C5	443545	唀	 &#21760;
E59481	5501		8FB5C6	443546	唁	 &#21761;
E59482	5502				唂	 &#21762;
E59483	5503				唃	 &#21763;
E59484	5504	8953	B1B4	3134	唄	 &#21764;
E59485	5505		8FB5C7	443547	唅	 &#21765;
E59486	5506	8DB4	BAB6	3A36	唆	 &#21766;
E59487	5507	904F	BFB0	3F30	唇	 &#21767;
E59488	5508		8FB5C8	443548	唈	 &#21768;
E59489	5509		8FB5C9	443549	唉	 &#21769;
E5948A	550A				唊	 &#21770;
E5948B	550B				唋	 &#21771;
E5948C	550C		8FB5CA	44354A	唌	 &#21772;
E5948D	550D		8FB5CB	44354B	唍	 &#21773;
E5948E	550E		8FB5CC	44354C	唎	 &#21774;
E5948F	550F	9A48	D3A9	5329	唏	 &#21775;
E59490	5510	9382	C5E2	4562	唐	 &#21776;
E59491	5511				唑	 &#21777;
E59492	5512				唒	 &#21778;
E59493	5513				唓	 &#21779;
E59494	5514	9A49	D3AA	532A	唔	 &#21780;
E59495	5515		8FB5CD	44354D	唕	 &#21781;
E59496	5516	88A0	B0A2	3022	唖	 &#21782;
E59497	5517				唗	 &#21783;
E59498	5518				唘	 &#21784;
E59499	5519				唙	 &#21785;
E5949A	551A				唚	 &#21786;
E5949B	551B				唛	 &#21787;
E5949C	551C				唜	 &#21788;
E5949D	551D				唝	 &#21789;
E5949E	551E				唞	 &#21790;
E5949F	551F				唟	 &#21791;
E594A0	5520				唠	 &#21792;
E594A1	5521				唡	 &#21793;
E594A2	5522				唢	 &#21794;
E594A3	5523				唣	 &#21795;
E594A4	5524				唤	 &#21796;
E594A5	5525				唥	 &#21797;
E594A6	5526				唦	 &#21798;
E594A7	5527				唧	 &#21799;
E594A8	5528				唨	 &#21800;
E594A9	5529				唩	 &#21801;
E594AA	552A		8FB5CE	44354E	唪	 &#21802;
E594AB	552B		8FB5CF	44354F	唫	 &#21803;
E594AC	552C				唬	 &#21804;
E594AD	552D				唭	 &#21805;
E594AE	552E	9A53	D3B4	5334	售	 &#21806;
E594AF	552F	9742	CDA3	4D23	唯	 &#21807;
E594B0	5530				唰	 &#21808;
E594B1	5531	8FA5	BEA7	3E27	唱	 &#21809;
E594B2	5532		8FB5D0	443550	唲	 &#21810;
E594B3	5533	9A59	D3BA	533A	唳	 &#21811;
E594B4	5534				唴	 &#21812;
E594B5	5535		8FB5D1	443551	唵	 &#21813;
E594B6	5536		8FB5D2	443552	唶	 &#21814;
E594B7	5537				唷	 &#21815;
E594B8	5538	9A58	D3B9	5339	唸	 &#21816;
E594B9	5539	9A4F	D3B0	5330	唹	 &#21817;
E594BA	553A				唺	 &#21818;
E594BB	553B		8FB5D3	443553	唻	 &#21819;
E594BC	553C		8FB5D4	443554	唼	 &#21820;
E594BD	553D		8FB5D5	443555	唽	 &#21821;
E594BE	553E	91C1	C2C3	4243	唾	 &#21822;
E594BF	553F				唿	 &#21823;
E59580	5540	9A50	D3B1	5331	啀	 &#21824;
E59581	5541		8FB5D6	443556	啁	 &#21825;
E59582	5542				啂	 &#21826;
E59583	5543				啃	 &#21827;
E59584	5544	91ED	C2EF	426F	啄	 &#21828;
E59585	5545	9A55	D3B6	5336	啅	 &#21829;
E59586	5546	8FA4	BEA6	3E26	商	 &#21830;
E59587	5547		8FB5D7	443557	啇	 &#21831;
E59588	5548				啈	 &#21832;
E59589	5549		8FB5D8	443558	啉	 &#21833;
E5958A	554A		8FB5D9	443559	啊	 &#21834;
E5958B	554B				啋	 &#21835;
E5958C	554C	9A52	D3B3	5333	啌	 &#21836;
E5958D	554D		8FB5DA	44355A	啍	 &#21837;
E5958E	554E				啎	 &#21838;
E5958F	554F	96E2	CCE4	4C64	問	 &#21839;
E59590	5550		8FB5DB	44355B	啐	 &#21840;
E59591	5551		8FB5DC	44355C	啑	 &#21841;
E59592	5552				啒	 &#21842;
E59593	5553	8C5B	B7BC	373C	啓	 &#21843;
E59594	5554				啔	 &#21844;
E59595	5555				啕	 &#21845;
E59596	5556	9A56	D3B7	5337	啖	 &#21846;
E59597	5557	9A57	D3B8	5338	啗	 &#21847;
E59598	5558		8FB5DD	44355D	啘	 &#21848;
E59599	5559				啙	 &#21849;
E5959A	555A		8FB5DE	44355E	啚	 &#21850;
E5959B	555B		8FB5DF	44355F	啛	 &#21851;
E5959C	555C	9A54	D3B5	5335	啜	 &#21852;
E5959D	555D	9A5A	D3BB	533B	啝	 &#21853;
E5959E	555E		8FB5E0	443560	啞	 &#21854;
E5959F	555F				啟	 &#21855;
E595A0	5560		8FB5E1	443561	啠	 &#21856;
E595A1	5561		8FB5E2	443562	啡	 &#21857;
E595A2	5562				啢	 &#21858;
E595A3	5563	9A51	D3B2	5332	啣	 &#21859;
E595A4	5564		8FB5E3	443563	啤	 &#21860;
E595A5	5565				啥	 &#21861;
E595A6	5566		8FB5E4	443564	啦	 &#21862;
E595A7	5567				啧	 &#21863;
E595A8	5568				啨	 &#21864;
E595A9	5569				啩	 &#21865;
E595AA	556A				啪	 &#21866;
E595AB	556B				啫	 &#21867;
E595AC	556C				啬	 &#21868;
E595AD	556D				啭	 &#21869;
E595AE	556E				啮	 &#21870;
E595AF	556F				啯	 &#21871;
E595B0	5570				啰	 &#21872;
E595B1	5571				啱	 &#21873;
E595B2	5572				啲	 &#21874;
E595B3	5573				啳	 &#21875;
E595B4	5574				啴	 &#21876;
E595B5	5575				啵	 &#21877;
E595B6	5576				啶	 &#21878;
E595B7	5577				啷	 &#21879;
E595B8	5578				啸	 &#21880;
E595B9	5579				啹	 &#21881;
E595BA	557A				啺	 &#21882;
E595BB	557B	9A60	D3C1	5341	啻	 &#21883;
E595BC	557C	9A65	D3C6	5346	啼	 &#21884;
E595BD	557D				啽	 &#21885;
E595BE	557E	9A61	D3C2	5342	啾	 &#21886;
E595BF	557F		8FB5E5	443565	啿	 &#21887;
E59680	5580	9A5C	D3BD	533D	喀	 &#21888;
E59681	5581		8FB5E6	443566	喁	 &#21889;
E59682	5582		8FB5E7	443567	喂	 &#21890;
E59683	5583	9A66	D3C7	5347	喃	 &#21891;
E59684	5584	9150	C1B1	4131	善	 &#21892;
E59685	5585				喅	 &#21893;
E59686	5586	FA95	F9D9	443568	喆	 &#21894;
E59687	5587	9A68	D3C9	5349	喇	 &#21895;
E59688	5588		8FB5E9	443569	喈	 &#21896;
E59689	5589	8D41	B9A2	3922	喉	 &#21897;
E5968A	558A	9A5E	D3BF	533F	喊	 &#21898;
E5968B	558B	929D	C3FD	437D	喋	 &#21899;
E5968C	558C				喌	 &#21900;
E5968D	558D				喍	 &#21901;
E5968E	558E		8FB5EA	44356A	喎	 &#21902;
E5968F	558F		8FB5EB	44356B	喏	 &#21903;
E59690	5590				喐	 &#21904;
E59691	5591		8FB5EC	44356C	喑	 &#21905;
E59692	5592		8FB5ED	44356D	喒	 &#21906;
E59693	5593		8FB5EE	44356E	喓	 &#21907;
E59694	5594		8FB5EF	44356F	喔	 &#21908;
E59695	5595				喕	 &#21909;
E59696	5596				喖	 &#21910;
E59697	5597		8FB5F0	443570	喗	 &#21911;
E59698	5598	9A62	D3C3	5343	喘	 &#21912;
E59699	5599	9A5B	D3BC	533C	喙	 &#21913;
E5969A	559A	8AAB	B4AD	342D	喚	 &#21914;
E5969B	559B				喛	 &#21915;
E5969C	559C	8AEC	B4EE	346E	喜	 &#21916;
E5969D	559D	8A85	B3E5	3365	喝	 &#21917;
E5969E	559E	9A63	D3C4	5344	喞	 &#21918;
E5969F	559F	9A5F	D3C0	5340	喟	 &#21919;
E596A0	55A0				喠	 &#21920;
E596A1	55A1				喡	 &#21921;
E596A2	55A2				喢	 &#21922;
E596A3	55A3		8FB5F1	443571	喣	 &#21923;
E596A4	55A4		8FB5F2	443572	喤	 &#21924;
E596A5	55A5				喥	 &#21925;
E596A6	55A6				喦	 &#21926;
E596A7	55A7	8C96	B7F6	3776	喧	 &#21927;
E596A8	55A8	9A69	D3CA	534A	喨	 &#21928;
E596A9	55A9	9A67	D3C8	5348	喩	 &#21929;
E596AA	55AA	9172	C1D3	4153	喪	 &#21930;
E596AB	55AB	8B69	B5CA	354A	喫	 &#21931;
E596AC	55AC	8BAA	B6AC	362C	喬	 &#21932;
E596AD	55AD		8FB5F3	443573	喭	 &#21933;
E596AE	55AE	9A64	D3C5	5345	單	 &#21934;
E596AF	55AF				喯	 &#21935;
E596B0	55B0	8BF2	B6F4	3674	喰	 &#21936;
E596B1	55B1				喱	 &#21937;
E596B2	55B2		8FB5F4	443574	喲	 &#21938;
E596B3	55B3				喳	 &#21939;
E596B4	55B4				喴	 &#21940;
E596B5	55B5				喵	 &#21941;
E596B6	55B6	8963	B1C4	3144	営	 &#21942;
E596B7	55B7				喷	 &#21943;
E596B8	55B8				喸	 &#21944;
E596B9	55B9				喹	 &#21945;
E596BA	55BA				喺	 &#21946;
E596BB	55BB				喻	 &#21947;
E596BC	55BC				喼	 &#21948;
E596BD	55BD				喽	 &#21949;
E596BE	55BE				喾	 &#21950;
E596BF	55BF		8FB5F5	443575	喿	 &#21951;
E59780	55C0				嗀	 &#21952;
E59781	55C1		8FB5F6	443576	嗁	 &#21953;
E59782	55C2				嗂	 &#21954;
E59783	55C3		8FB5F7	443577	嗃	 &#21955;
E59784	55C4	9A6D	D3CE	534E	嗄	 &#21956;
E59785	55C5	9A6B	D3CC	534C	嗅	 &#21957;
E59786	55C6		8FB5F8	443578	嗆	 &#21958;
E59787	55C7	9AA5	D4A7	5427	嗇	 &#21959;
E59788	55C8				嗈	 &#21960;
E59789	55C9		8FB5F9	443579	嗉	 &#21961;
E5978A	55CA				嗊	 &#21962;
E5978B	55CB		8FB5FA	44357A	嗋	 &#21963;
E5978C	55CC		8FB5FB	44357B	嗌	 &#21964;
E5978D	55CD				嗍	 &#21965;
E5978E	55CE		8FB5FC	44357C	嗎	 &#21966;
E5978F	55CF				嗏	 &#21967;
E59790	55D0				嗐	 &#21968;
E59791	55D1		8FB5FD	44357D	嗑	 &#21969;
E59792	55D2		8FB5FE	44357E	嗒	 &#21970;
E59793	55D3		8FB6A1	443621	嗓	 &#21971;
E59794	55D4	9A70	D3D1	5351	嗔	 &#21972;
E59795	55D5				嗕	 &#21973;
E59796	55D6				嗖	 &#21974;
E59797	55D7		8FB6A2	443622	嗗	 &#21975;
E59798	55D8		8FB6A3	443623	嗘	 &#21976;
E59799	55D9				嗙	 &#21977;
E5979A	55DA	9A6A	D3CB	534B	嗚	 &#21978;
E5979B	55DB		8FB6A4	443624	嗛	 &#21979;
E5979C	55DC	9A6E	D3CF	534F	嗜	 &#21980;
E5979D	55DD				嗝	 &#21981;
E5979E	55DE		8FB6A5	443625	嗞	 &#21982;
E5979F	55DF	9A6C	D3CD	534D	嗟	 &#21983;
E597A0	55E0				嗠	 &#21984;
E597A1	55E1				嗡	 &#21985;
E597A2	55E2		8FB6A6	443626	嗢	 &#21986;
E597A3	55E3	8E6B	BBCC	3B4C	嗣	 &#21987;
E597A4	55E4	9A6F	D3D0	5350	嗤	 &#21988;
E597A5	55E5				嗥	 &#21989;
E597A6	55E6				嗦	 &#21990;
E597A7	55E7				嗧	 &#21991;
E597A8	55E8				嗨	 &#21992;
E597A9	55E9		8FB6A7	443627	嗩	 &#21993;
E597AA	55EA				嗪	 &#21994;
E597AB	55EB				嗫	 &#21995;
E597AC	55EC				嗬	 &#21996;
E597AD	55ED				嗭	 &#21997;
E597AE	55EE				嗮	 &#21998;
E597AF	55EF				嗯	 &#21999;
E597B0	55F0				嗰	 &#22000;
E597B1	55F1				嗱	 &#22001;
E597B2	55F2				嗲	 &#22002;
E597B3	55F3				嗳	 &#22003;
E597B4	55F4				嗴	 &#22004;
E597B5	55F5				嗵	 &#22005;
E597B6	55F6		8FB6A8	443628	嗶	 &#22006;
E597B7	55F7	9A72	D3D3	5353	嗷	 &#22007;
E597B8	55F8				嗸	 &#22008;
E597B9	55F9	9A77	D3D8	5358	嗹	 &#22009;
E597BA	55FA				嗺	 &#22010;
E597BB	55FB				嗻	 &#22011;
E597BC	55FC				嗼	 &#22012;
E597BD	55FD	9A75	D3D6	5356	嗽	 &#22013;
E597BE	55FE	9A74	D3D5	5355	嗾	 &#22014;
E597BF	55FF		8FB6A9	443629	嗿	 &#22015;
E59880	5600				嘀	 &#22016;
E59881	5601				嘁	 &#22017;
E59882	5602				嘂	 &#22018;
E59883	5603				嘃	 &#22019;
E59884	5604				嘄	 &#22020;
E59885	5605		8FB6AA	44362A	嘅	 &#22021;
E59886	5606	9251	C3B2	4332	嘆	 &#22022;
E59887	5607				嘇	 &#22023;
E59888	5608		8FB6AB	44362B	嘈	 &#22024;
E59889	5609	89C3	B2C5	3245	嘉	 &#22025;
E5988A	560A		8FB6AC	44362C	嘊	 &#22026;
E5988B	560B				嘋	 &#22027;
E5988C	560C				嘌	 &#22028;
E5988D	560D		8FB6AD	44362D	嘍	 &#22029;
E5988E	560E		8FB6AE	44362E	嘎	 &#22030;
E5988F	560F		8FB6AF	44362F	嘏	 &#22031;
E59890	5610		8FB6B0	443630	嘐	 &#22032;
E59891	5611		8FB6B1	443631	嘑	 &#22033;
E59892	5612		8FB6B2	443632	嘒	 &#22034;
E59893	5613				嘓	 &#22035;
E59894	5614	9A71	D3D2	5352	嘔	 &#22036;
E59895	5615				嘕	 &#22037;
E59896	5616	9A73	D3D4	5354	嘖	 &#22038;
E59897	5617	8FA6	BEA8	3E28	嘗	 &#22039;
E59898	5618	8952	B1B3	3133	嘘	 &#22040;
E59899	5619		8FB6B3	443633	嘙	 &#22041;
E5989A	561A				嘚	 &#22042;
E5989B	561B	9A76	D3D7	5357	嘛	 &#22043;
E5989C	561C				嘜	 &#22044;
E5989D	561D				嘝	 &#22045;
E5989E	561E				嘞	 &#22046;
E5989F	561F				嘟	 &#22047;
E598A0	5620				嘠	 &#22048;
E598A1	5621				嘡	 &#22049;
E598A2	5622				嘢	 &#22050;
E598A3	5623				嘣	 &#22051;
E598A4	5624				嘤	 &#22052;
E598A5	5625				嘥	 &#22053;
E598A6	5626				嘦	 &#22054;
E598A7	5627				嘧	 &#22055;
E598A8	5628				嘨	 &#22056;
E598A9	5629	89DC	B2DE	325E	嘩	 &#22057;
E598AA	562A				嘪	 &#22058;
E598AB	562B				嘫	 &#22059;
E598AC	562C		8FB6B4	443634	嘬	 &#22060;
E598AD	562D				嘭	 &#22061;
E598AE	562E				嘮	 &#22062;
E598AF	562F	9A82	D3E2	5362	嘯	 &#22063;
E598B0	5630		8FB6B5	443635	嘰	 &#22064;
E598B1	5631	8FFA	BEFC	3E7C	嘱	 &#22065;
E598B2	5632	9A7D	D3DE	535E	嘲	 &#22066;
E598B3	5633		8FB6B6	443636	嘳	 &#22067;
E598B4	5634	9A7B	D3DC	535C	嘴	 &#22068;
E598B5	5635		8FB6B7	443637	嘵	 &#22069;
E598B6	5636	9A7C	D3DD	535D	嘶	 &#22070;
E598B7	5637		8FB6B8	443638	嘷	 &#22071;
E598B8	5638	9A7E	D3DF	535F	嘸	 &#22072;
E598B9	5639		8FB6B9	443639	嘹	 &#22073;
E598BA	563A				嘺	 &#22074;
E598BB	563B		8FB6BA	44363A	嘻	 &#22075;
E598BC	563C		8FB6BB	44363B	嘼	 &#22076;
E598BD	563D		8FB6BC	44363C	嘽	 &#22077;
E598BE	563E				嘾	 &#22078;
E598BF	563F		8FB6BD	44363D	嘿	 &#22079;
E59980	5640		8FB6BE	44363E	噀	 &#22080;
E59981	5641		8FB6BF	44363F	噁	 &#22081;
E59982	5642	895C	B1BD	313D	噂	 &#22082;
E59983	5643		8FB6C0	443640	噃	 &#22083;
E59984	5644		8FB6C1	443641	噄	 &#22084;
E59985	5645				噅	 &#22085;
E59986	5646		8FB6C2	443642	噆	 &#22086;
E59987	5647				噇	 &#22087;
E59988	5648				噈	 &#22088;
E59989	5649		8FB6C3	443643	噉	 &#22089;
E5998A	564A				噊	 &#22090;
E5998B	564B		8FB6C4	443644	噋	 &#22091;
E5998C	564C	9158	C1B9	4139	噌	 &#22092;
E5998D	564D		8FB6C5	443645	噍	 &#22093;
E5998E	564E	9A78	D3D9	5359	噎	 &#22094;
E5998F	564F		8FB6C6	443646	噏	 &#22095;
E59990	5650	9A79	D3DA	535A	噐	 &#22096;
E59991	5651				噑	 &#22097;
E59992	5652				噒	 &#22098;
E59993	5653				噓	 &#22099;
E59994	5654		8FB6C7	443647	噔	 &#22100;
E59995	5655				噕	 &#22101;
E59996	5656				噖	 &#22102;
E59997	5657				噗	 &#22103;
E59998	5658				噘	 &#22104;
E59999	5659				噙	 &#22105;
E5999A	565A				噚	 &#22106;
E5999B	565B	8A9A	B3FA	337A	噛	 &#22107;
E5999C	565C				噜	 &#22108;
E5999D	565D				噝	 &#22109;
E5999E	565E		8FB6C8	443648	噞	 &#22110;
E5999F	565F				噟	 &#22111;
E599A0	5660		8FB6C9	443649	噠	 &#22112;
E599A1	5661		8FB6CA	44364A	噡	 &#22113;
E599A2	5662		8FB6CB	44364B	噢	 &#22114;
E599A3	5663		8FB6CC	44364C	噣	 &#22115;
E599A4	5664	9A81	D3E1	5361	噤	 &#22116;
E599A5	5665				噥	 &#22117;
E599A6	5666		8FB6CD	44364D	噦	 &#22118;
E599A7	5667				噧	 &#22119;
E599A8	5668	8AED	B4EF	346F	器	 &#22120;
E599A9	5669		8FB6CE	44364E	噩	 &#22121;
E599AA	566A	9A84	D3E4	5364	噪	 &#22122;
E599AB	566B	9A80	D3E0	5360	噫	 &#22123;
E599AC	566C	9A83	D3E3	5363	噬	 &#22124;
E599AD	566D		8FB6CF	44364F	噭	 &#22125;
E599AE	566E				噮	 &#22126;
E599AF	566F		8FB6D0	443650	噯	 &#22127;
E599B0	5670				噰	 &#22128;
E599B1	5671		8FB6D1	443651	噱	 &#22129;
E599B2	5672		8FB6D2	443652	噲	 &#22130;
E599B3	5673				噳	 &#22131;
E599B4	5674	95AC	CAAE	4A2E	噴	 &#22132;
E599B5	5675		8FB6D3	443653	噵	 &#22133;
E599B6	5676				噶	 &#22134;
E599B7	5677				噷	 &#22135;
E599B8	5678	93D3	C6D5	4655	噸	 &#22136;
E599B9	5679				噹	 &#22137;
E599BA	567A	94B6	C8B8	4838	噺	 &#22138;
E599BB	567B				噻	 &#22139;
E599BC	567C				噼	 &#22140;
E599BD	567D				噽	 &#22141;
E599BE	567E				噾	 &#22142;
E599BF	567F				噿	 &#22143;
E59A80	5680	9A86	D3E6	5366	嚀	 &#22144;
E59A81	5681				嚁	 &#22145;
E59A82	5682				嚂	 &#22146;
E59A83	5683				嚃	 &#22147;
E59A84	5684		8FB6D4	443654	嚄	 &#22148;
E59A85	5685		8FB6D5	443655	嚅	 &#22149;
E59A86	5686	9A85	D3E5	5365	嚆	 &#22150;
E59A87	5687	8A64	B3C5	3345	嚇	 &#22151;
E59A88	5688		8FB6D6	443656	嚈	 &#22152;
E59A89	5689				嚉	 &#22153;
E59A8A	568A	9A87	D3E7	5367	嚊	 &#22154;
E59A8B	568B		8FB6D7	443657	嚋	 &#22155;
E59A8C	568C		8FB6D8	443658	嚌	 &#22156;
E59A8D	568D				嚍	 &#22157;
E59A8E	568E				嚎	 &#22158;
E59A8F	568F	9A8A	D3EA	536A	嚏	 &#22159;
E59A90	5690				嚐	 &#22160;
E59A91	5691				嚑	 &#22161;
E59A92	5692				嚒	 &#22162;
E59A93	5693				嚓	 &#22163;
E59A94	5694	9A89	D3E9	5369	嚔	 &#22164;
E59A95	5695		8FB6D9	443659	嚕	 &#22165;
E59A96	5696				嚖	 &#22166;
E59A97	5697				嚗	 &#22167;
E59A98	5698				嚘	 &#22168;
E59A99	5699		8FB6DA	44365A	嚙	 &#22169;
E59A9A	569A		8FB6DB	44365B	嚚	 &#22170;
E59A9B	569B				嚛	 &#22171;
E59A9C	569C				嚜	 &#22172;
E59A9D	569D		8FB6DC	44365C	嚝	 &#22173;
E59A9E	569E		8FB6DD	44365D	嚞	 &#22174;
E59A9F	569F		8FB6DE	44365E	嚟	 &#22175;
E59AA0	56A0	9A88	D3E8	5368	嚠	 &#22176;
E59AA1	56A1				嚡	 &#22177;
E59AA2	56A2	9458	C7B9	4739	嚢	 &#22178;
E59AA3	56A3				嚣	 &#22179;
E59AA4	56A4				嚤	 &#22180;
E59AA5	56A5	9A8B	D3EB	536B	嚥	 &#22181;
E59AA6	56A6		8FB6DF	44365F	嚦	 &#22182;
E59AA7	56A7		8FB6E0	443660	嚧	 &#22183;
E59AA8	56A8		8FB6E1	443661	嚨	 &#22184;
E59AA9	56A9		8FB6E2	443662	嚩	 &#22185;
E59AAA	56AA				嚪	 &#22186;
E59AAB	56AB		8FB6E3	443663	嚫	 &#22187;
E59AAC	56AC		8FB6E4	443664	嚬	 &#22188;
E59AAD	56AD		8FB6E5	443665	嚭	 &#22189;
E59AAE	56AE	9A8C	D3EC	536C	嚮	 &#22190;
E59AAF	56AF				嚯	 &#22191;
E59AB0	56B0				嚰	 &#22192;
E59AB1	56B1		8FB6E6	443666	嚱	 &#22193;
E59AB2	56B2				嚲	 &#22194;
E59AB3	56B3		8FB6E7	443667	嚳	 &#22195;
E59AB4	56B4	9A8E	D3EE	536E	嚴	 &#22196;
E59AB5	56B5				嚵	 &#22197;
E59AB6	56B6	9A8D	D3ED	536D	嚶	 &#22198;
E59AB7	56B7		8FB6E8	443668	嚷	 &#22199;
E59AB8	56B8				嚸	 &#22200;
E59AB9	56B9				嚹	 &#22201;
E59ABA	56BA				嚺	 &#22202;
E59ABB	56BB				嚻	 &#22203;
E59ABC	56BC	9A90	D3F0	5370	嚼	 &#22204;
E59ABD	56BD				嚽	 &#22205;
E59ABE	56BE		8FB6E9	443669	嚾	 &#22206;
E59ABF	56BF				嚿	 &#22207;
E59B80	56C0	9A93	D3F3	5373	囀	 &#22208;
E59B81	56C1	9A91	D3F1	5371	囁	 &#22209;
E59B82	56C2	9A8F	D3EF	536F	囂	 &#22210;
E59B83	56C3	9A92	D3F2	5372	囃	 &#22211;
E59B84	56C4				囄	 &#22212;
E59B85	56C5		8FB6EA	44366A	囅	 &#22213;
E59B86	56C6				囆	 &#22214;
E59B87	56C7				囇	 &#22215;
E59B88	56C8	9A94	D3F4	5374	囈	 &#22216;
E59B89	56C9		8FB6EB	44366B	囉	 &#22217;
E59B8A	56CA		8FB6EC	44366C	囊	 &#22218;
E59B8B	56CB		8FB6ED	44366D	囋	 &#22219;
E59B8C	56CC		8FB6F0	443670	囌	 &#22220;
E59B8D	56CD		8FB6F1	443671	囍	 &#22221;
E59B8E	56CE	9A95	D3F5	5375	囎	 &#22222;
E59B8F	56CF		8FB6EE	44366E	囏	 &#22223;
E59B90	56D0		8FB6EF	44366F	囐	 &#22224;
E59B91	56D1	9A96	D3F6	5376	囑	 &#22225;
E59B92	56D2				囒	 &#22226;
E59B93	56D3	9A97	D3F7	5377	囓	 &#22227;
E59B94	56D4				囔	 &#22228;
E59B95	56D5				囕	 &#22229;
E59B96	56D6				囖	 &#22230;
E59B97	56D7	9A98	D3F8	5378	囗	 &#22231;
E59B98	56D8	9964	D1C5	5145	囘	 &#22232;
E59B99	56D9		8FB6F2	443672	囙	 &#22233;
E59B9A	56DA	8EFA	BCFC	3C7C	囚	 &#22234;
E59B9B	56DB	8E6C	BBCD	3B4D	四	 &#22235;
E59B9C	56DC		8FB6F3	443673	囜	 &#22236;
E59B9D	56DD		8FB6F4	443674	囝	 &#22237;
E59B9E	56DE	89F1	B2F3	3273	回	 &#22238;
E59B9F	56DF		8FB6F5	443675	囟	 &#22239;
E59BA0	56E0	88F6	B0F8	3078	因	 &#22240;
E59BA1	56E1		8FB6F6	443676	囡	 &#22241;
E59BA2	56E2				团	 &#22242;
E59BA3	56E3	9263	C3C4	4344	団	 &#22243;
E59BA4	56E4		8FB6F7	443677	囤	 &#22244;
E59BA5	56E5		8FB6F8	443678	囥	 &#22245;
E59BA6	56E6		8FB6F9	443679	囦	 &#22246;
E59BA7	56E7		8FB6FA	44367A	囧	 &#22247;
E59BA8	56E8		8FB6FB	44367B	囨	 &#22248;
E59BA9	56E9				囩	 &#22249;
E59BAA	56EA				囪	 &#22250;
E59BAB	56EB		8FB6FD	44367D	囫	 &#22251;
E59BAC	56EC				囬	 &#22252;
E59BAD	56ED		8FB6FE	44367E	园	 &#22253;
E59BAE	56EE	9A99	D3F9	5379	囮	 &#22254;
E59BAF	56EF				囯	 &#22255;
E59BB0	56F0	8DA2	BAA4	3A24	困	 &#22256;
E59BB1	56F1		8FB6FC	44367C	囱	 &#22257;
E59BB2	56F2	88CD	B0CF	304F	囲	 &#22258;
E59BB3	56F3	907D	BFDE	3F5E	図	 &#22259;
E59BB4	56F4				围	 &#22260;
E59BB5	56F5				囵	 &#22261;
E59BB6	56F6		8FB7A1	443721	囶	 &#22262;
E59BB7	56F7		8FB7A2	443722	囷	 &#22263;
E59BB8	56F8				囸	 &#22264;
E59BB9	56F9	9A9A	D3FA	537A	囹	 &#22265;
